timestamp,cell_id,voltage,current,temp
2026-09-14 09:00:00,CELL-001,3.735,-4.31,39.0
2026-09-14 09:00:00,CELL-002,4.042,-3.72,31.9
2026-09-14 09:00:00,CELL-003,3.805,-2.35,41.8
2026-09-14 09:00:00,CELL-004,3.665,-2.88,33.5
2026-09-14 09:00:00,CELL-005,4.003,-2.99,27.8
2026-09-14 10:00:00,CELL-001,4.295,1.5,31.0
2026-09-14 10:00:00,CELL-002,3.769,-3.79,25.6
2026-09-14 10:00:00,CELL-003,3.572,0.88,25.8
2026-09-14 10:00:00,CELL-004,3.442,-4.29,35.8
2026-09-14 10:00:00,CELL-005,3.452,4.05,41.5
2026-09-14 11:00:00,CELL-001,3.278,-2.62,36.7
2026-09-14 11:00:00,CELL-002,3.436,-3.68,43.4
2026-09-14 11:00:00,CELL-003,3.828,-0.27,39.6
2026-09-14 11:00:00,CELL-004,4.088,-3.1,22.4
2026-09-14 11:00:00,CELL-005,3.674,-0.76,31.7
2026-09-14 12:00:00,CELL-001,4.002,1.73,44.6
2026-09-14 12:00:00,CELL-002,3.308,-0.97,28.5
2026-09-14 12:00:00,CELL-003,4.148,-2.51,24.8
2026-09-14 12:00:00,CELL-004,3.693,-0.78,27.0
2026-09-14 12:00:00,CELL-005,3.475,4.23,31.1
2026-09-14 13:00:00,CELL-001,4.147,0.5,21.3
2026-09-14 13:00:00,CELL-002,4.299,3.36,44.2
2026-09-14 13:00:00,CELL-003,4.219,3.49,24.2
2026-09-14 13:00:00,CELL-004,3.734,-2.86,30.0
2026-09-14 13:00:00,CELL-005,3.264,-1.21,44.6
2026-09-14 14:00:00,CELL-001,3.492,2.84,31.4
2026-09-14 14:00:00,CELL-002,3.665,4.57,44.9
2026-09-14 14:00:00,CELL-003,3.811,2.18,23.9
2026-09-14 14:00:00,CELL-004,3.526,4.69,34.5
2026-09-14 14:00:00,CELL-005,3.796,2.48,21.4
2026-09-14 15:00:00,CELL-001,3.843,0.03,41.3
2026-09-14 15:00:00,CELL-002,3.373,4.61,22.0
2026-09-14 15:00:00,CELL-003,3.404,0.95,36.9
2026-09-14 15:00:00,CELL-004,3.459,-3.8,42.3
2026-09-14 15:00:00,CELL-005,3.471,0.95,35.5
2026-09-14 16:00:00,CELL-001,3.661,0.84,33.1
2026-09-14 16:00:00,CELL-002,4.228,-2.96,37.9
2026-09-14 16:00:00,CELL-003,3.463,-1.04,36.8
2026-09-14 16:00:00,CELL-004,3.53,-1.84,38.8
2026-09-14 16:00:00,CELL-005,3.28,-0.42,45.0
2026-09-14 17:00:00,CELL-001,4.296,-4.27,25.3
2026-09-14 17:00:00,CELL-002,3.492,4.33,42.0
2026-09-14 17:00:00,CELL-003,4.167,-1.3,23.9
2026-09-14 17:00:00,CELL-004,4.117,2.04,35.3
2026-09-14 17:00:00,CELL-005,4.286,1.54,20.2
2026-09-14 18:00:00,CELL-001,4.099,-2.01,36.6
2026-09-14 18:00:00,CELL-002,4.233,-3.66,22.9
2026-09-14 18:00:00,CELL-003,3.318,0.53,26.8
2026-09-14 18:00:00,CELL-004,3.865,2.18,25.1
2026-09-14 18:00:00,CELL-005,3.898,-2.36,32.2
2026-09-14 19:00:00,CELL-001,4.196,3.46,22.3
2026-09-14 19:00:00,CELL-002,3.666,-2.23,20.1
2026-09-14 19:00:00,CELL-003,4.048,1.37,26.5
2026-09-14 19:00:00,CELL-004,4.015,0.52,30.7
2026-09-14 19:00:00,CELL-005,3.211,-4.25,42.1
2026-09-14 20:00:00,CELL-001,4.194,0.46,40.9
2026-09-14 20:00:00,CELL-002,3.841,-3.52,23.2
2026-09-14 20:00:00,CELL-003,3.539,3.99,39.9
2026-09-14 20:00:00,CELL-004,4.147,3.99,25.3
2026-09-14 20:00:00,CELL-005,3.474,-3.97,39.5
2026-09-14 21:00:00,CELL-001,4.173,-0.94,35.5
2026-09-14 21:00:00,CELL-002,3.37,4.3,41.6
2026-09-14 21:00:00,CELL-003,4.274,3.11,42.0
2026-09-14 21:00:00,CELL-004,3.227,2.37,28.3
2026-09-14 21:00:00,CELL-005,4.224,3.02,41.6
2026-09-14 22:00:00,CELL-001,4.092,-2.33,39.7
2026-09-14 22:00:00,CELL-002,3.319,3.72,41.5
2026-09-14 22:00:00,CELL-003,3.445,3.17,31.5
2026-09-14 22:00:00,CELL-004,3.536,2.95,25.7
2026-09-14 22:00:00,CELL-005,3.226,-3.07,28.2
2026-09-14 23:00:00,CELL-001,4.151,4.67,27.0
2026-09-14 23:00:00,CELL-002,3.906,-1.0,44.5
2026-09-14 23:00:00,CELL-003,3.79,4.39,22.9
2026-09-14 23:00:00,CELL-004,4.267,-3.21,44.1
2026-09-14 23:00:00,CELL-005,3.492,-3.92,30.9
